['30.2', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_wm_web_log_stg']
['29.8', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_24news_recommend_alsmodel_tmp']
['28.2', 'G', '/user/datahome/hive_db/datahome.db/ods_xsb_log_di']
['25.8', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_wm_web_log']
['25.8', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_wangmai_app_log_bk']
['23.8', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_tmxw_sv_rs_user_unread_article_keywords']
['23.7', 'G', '/user/datahome/hive_db/datahome.db/ods_tmy_wcmmetatableapp_df']
['23.5', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_24news_push_info']
['22.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_cs_cangnan_user_summary_m']
['22.0', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_account_invite_detail']
['20.7', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_sensors_sessions_session_default_his']
['19.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_ps_account_association_info']
['18.8', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_push_token_info']
['18.7', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_wangmai_bas3_cvevent_xugz_20190417']
['18.3', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_wangmai_bas3_cvevent_temp']
['17.5', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_getui_user_json_info']
['16.4', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_ps_account_info']
['16.1', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_xwcmdocsharerel_2_0']
['15.7', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_24news_app_event_ua_di']
['15.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_push_token_info']
['15.5', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_zjxw_app_event_read_di']
['13.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_cs_content_local_web_article_summary_d']
['13.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_24news_article_summary_w']
['13.1', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_fan_follow']
['13.1', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_24news_article_summary_h']
['12.3', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_ugc_article_info']
['11.7', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_tmxw_sv_rs_user_unread_article_info']
['11.6', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_tmxw_nearline_article_summary_h']
['11.4', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_24news_recommend_alsmodel']
['11.2', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_xsb_channel_article']
['11.0', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_24h_active_account_group_article_summary_d']
['10.4', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_channel_article_info']
['9.9', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_24news_app_event_read_di']
['9.6', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_user_unread_article_info_filter']
['9.6', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_county_channel_article_summary_w']
['9.4', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_app_county_channel_article_summary_w']
['9.1', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_sensors_sessions_session_default_1_his']
['9.1', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_cas_cas_inmediapublish_mf_5']
['8.6', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_account_extension']
['8.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_app_content_city_channel_article_summary_m']
['8.5', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_content_city_channel_article_summary_m']
['8.4', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_zjxw_log_merge']
['8.4', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_article_summary_m']
['8.3', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_app_article_summary_m']
